id,region,name,majors_in_icis_npdes,non_majors_in_icis_npdes,major_pollutant_loadings,non_major_pollutant_loadings,major_pollutant_loadings_percentage,non_majors_pollutant_loadings,major_pollutants_pounds,non_major_total_pollutants_pounds,major_toxic_weighted_pounds,non_major_toxic_weighted_pounds,date,
49,8,Utah,39,133,38,87,97,65,420631320,469231864,3283716,60622,1/1/09,
50,1,Vermont,34,118,34,82,100,69,22963947,15553,15053,6,1/1/09,
51,2,Virgin Islands,7,61,7,58,100,95,49785751,62746501,6267,16969,1/1/09,
52,3,Virginia,135,626,98,120,73,19,403188144,7002126,80704,3877,1/1/09,
53,10,Washington,68,325,49,198,72,61,102083753,5411126,61473,57131,1/1/09,
54,3,West Virginia,88,1308,88,1207,100,92,614449111,6551313883,19794659,1053103,1/1/09,
55,5,Wisconsin,131,890,131,438,100,49,109876929,100670,49033,33,1/1/09,
56,8,Wyoming,15,495,15,441,100,89,4954667,430065221,813,95403724,1/1/09,
0,4,Alabama,183,1499,183,933,100,62,1624473226,1254224693,620806,2235117,1/1/10,
1,10,Alaska,42,39,32,21,76,54,65108275,28380025,46832,370,1/1/10,
2,9,American Samoa,4,3,4,1,100,33,3418922,0,249,0,1/1/10,
3,9,Arizona,73,119,69,101,95,85,2.87572E+11,90701860,2106715,41507,1/1/10,
4,6,Arkansas,115,705,114,700,99,99,479202996,42202877,94352,176139,1/1/10,
5,9,California,266,367,237,246,89,67,4004328933,2710973,14946613189,1844,1/1/10,
6,8,Colorado,125,382,119,233,95,61,434290489,136402520,76850,18020,1/1/10,
7,1,Connecticut,97,79,97,74,100,94,116186651,111985751,1205911,12607,1/1/10,
8,3,Delaware,17,38,16,34,94,89,201415272,9734761,265814,2373,1/1/10,
9,3,District Of Columbia,4,7,4,5,100,71,28980508,462769,128428,199,1/1/10,
10,4,Florida,223,301,191,257,86,85,599160924,190974585,6789391,1739436,1/1/10,
11,4,Georgia,211,797,206,536,98,67,218644492,27576790,4849950,11670,1/1/10,
12,9,Guam,5,14,5,10,100,71,5107655,59722,1482,228,1/1/10,
13,6,Gulf Of Mexico,,3,,2,,67,,0,,0,1/1/10,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/10,
15,9,Hawaii,20,127,18,30,90,24,1603558202,180324058,73431,2027,1/1/10,
16,10,Idaho,39,143,38,121,97,85,56375920,2610348,38396,4540,1/1/10,
17,5,Illinois,274,1421,273,1280,100,90,448319170,7584820426,5624036,609110,1/1/10,
18,5,Indiana,196,1350,195,1323,99,98,1663970278,123325997,193360,41789,1/1/10,
19,7,Iowa,142,1368,132,1022,93,75,21436481,44883624,19845,5044,1/1/10,
20,7,Kansas,57,1178,54,411,95,35,215040716,60078685,136454,1969,1/1/10,
21,4,Kentucky,141,1623,139,1502,99,93,396579019,896358947,123604,553531,1/1/10,
22,6,Louisiana,243,1318,235,411,97,31,3.22609E+13,11323832,1415232,55882,1/1/10,
23,1,Maine,76,381,72,217,95,57,86750639,3003714,40243,338845,1/1/10,
24,9,Mariana Islands,2,2,2,1,100,50,892386,210,235,0,1/1/10,
25,3,Maryland,97,872,85,468,88,54,50871190,158538750,621581,513963,1/1/10,
26,1,Massachusetts,127,156,123,130,97,83,267641999,29503383,24241552,29284,1/1/10,
27,5,Michigan,199,605,194,522,97,86,909926031,131680998,4949422,238850,1/1/10,
28,5,Minnesota,104,670,98,248,94,37,664972745,4177326,2388633,51,1/1/10,
29,4,Mississippi,95,1277,95,1218,100,95,64346222,567663061,87279,38117,1/1/10,
30,7,Missouri,179,3016,175,2556,98,85,3546712584,1374478390,573271262,5050938,1/1/10,
31,8,Montana,33,170,31,159,94,94,133422740,202053381,18436,7691,1/1/10,
32,7,Nebraska,53,695,53,593,100,85,81115251,1057985378,27193,1087490,1/1/10,
33,9,Nevada,14,96,11,44,79,46,600131949,0,468373,0,1/1/10,
34,1,New Hampshire,51,46,49,35,96,76,19644761,7528194,28096,1241,1/1/10,
35,2,New Jersey,128,64,119,46,93,72,0,0,0,0,1/1/10,
36,6,New Mexico,38,111,37,106,97,95,42475681,14414513,9037,33871,1/1/10,
37,2,New York,330,1270,327,1089,99,86,807117803,349909362,4130761,90288,1/1/10,
38,4,North Carolina,227,1139,219,922,96,81,82776956729,100258470,3304508879,32230,1/1/10,
39,8,North Dakota,25,51,25,8,100,16,58476148,0,221557,0,1/1/10,
40,5,Ohio,295,3055,295,2953,100,97,2657561477,1398532869,716833,219061,1/1/10,
41,6,Oklahoma,104,378,104,375,100,99,189176748,351799091,52033,6945,1/1/10,
42,10,Oregon,70,291,66,171,94,59,73445168,39209,222549,489,1/1/10,
43,3,Pennsylvania,403,4100,392,564,97,14,1547609123,58627658,2242523,73444,1/1/10,
44,2,Puerto Rico,85,174,85,172,100,99,2541762671,42872912,389301,834910,1/1/10,
45,1,Rhode Island,25,67,25,62,100,93,31289317,47716267,86396,16170,1/1/10,
46,4,South Carolina,169,301,162,291,96,97,403098974,12281133,171560,4311,1/1/10,
47,8,South Dakota,23,312,23,274,100,88,12574298,61106346,5917,4345,1/1/10,
48,4,Tennessee,163,1123,161,559,99,50,1128048381,759286675,708865,256620,1/1/10,
49,6,Texas,721,2255,711,2117,99,94,942108536,3556128220,1479258,864498,1/1/10,
50,8,Utah,39,135,38,89,97,66,365713302,276703829,5123563,27897,1/1/10,
51,1,Vermont,34,124,34,91,100,73,30370157,526842,14443,3,1/1/10,
52,2,Virgin Islands,7,63,7,60,100,95,49153996,71585809,1656,116886,1/1/10,
53,3,Virginia,141,723,114,137,81,19,627068704,1337921,32270,3601,1/1/10,
54,10,Washington,73,373,53,233,73,62,52709806,5623686,92454,80038,1/1/10,
55,3,West Virginia,88,1331,88,1235,100,93,1007863693,1551445889,226890511,443651,1/1/10,
56,5,Wisconsin,131,916,131,444,100,48,156370800,21957859,69770,174,1/1/10,
57,8,Wyoming,17,624,17,567,100,91,4952872,642495882,2845,91617495,1/1/10,
0,4,Alabama,183,1501,183,919,100,61,911297175,767589288,449179,605950,1/1/11,
1,10,Alaska,43,36,33,21,77,58,78623116,14031982,39215,268,1/1/11,
2,9,American Samoa,4,2,4,1,100,50,3375687,0,242,0,1/1/11,
3,9,Arizona,79,126,71,109,90,87,1.08038E+11,436454401,314184,406414,1/1/11,
4,6,Arkansas,116,714,115,709,99,99,490139861,59655919,240528,18381,1/1/11,
5,9,California,264,332,237,246,90,74,3411790738,2586305,47141885766,3215,1/1/11,
6,8,Colorado,127,457,121,249,95,54,441325342,120297198,83095,34732,1/1/11,
7,1,Connecticut,96,79,96,76,100,96,35967982,79571144,461195,16981,1/1/11,
8,3,Delaware,17,37,16,32,94,86,125276912,320590,308893,2446,1/1/11,
9,3,District Of Columbia,4,7,4,5,100,71,17841953,64310,56704,129,1/1/11,
10,4,Florida,294,314,193,266,66,85,9100113012,2691544266,1053141,377490,1/1/11,
11,4,Georgia,206,779,201,517,98,66,196506612,21439301,82571119466,12836,1/1/11,
12,9,Guam,5,13,5,12,100,92,6599040,1259933,11975,35,1/1/11,
13,6,Gulf Of Mexico,,3,,2,,67,,0,,0,1/1/11,
14,4,Gulf Of Mexico East,,1,,0,,0,,,,,1/1/11,
